temperatura,pressao,posicao_valvula,vazao_massica
28.5106,4.5936,0.7033,0.302
24.217,6.394,0.0829,0.0518
29.0396,4.1672,0.9087,0.3486
28.2479,5.0504,0.1267,0.0606
21.737,7.3116,0.0295,0.0214
24.6546,3.6393,0.5078,0.1674
28.4085,5.9375,0.9233,0.5284
26.0064,2.7164,0.0345,0.0079
29.7634,2.3564,0.143,0.027
24.5678,6.4588,0.7819,0.4939
29.8156,4.0669,0.4015,0.1496
21.4898,6.2937,0.868,0.5358
27.2043,4.3135,0.0314,0.0126
27.8493,1.2889,0.6014,0.0388
27.0905,2.3024,0.5248,0.0963
20.6727,7.7623,0.5764,0.4472
25.2517,2.2877,0.3492,0.0637
27.4811,2.6622,0.796,0.1773
23.3535,4.5163,0.8511,0.3615
26.28,5.3703,0.958,0.4923
28.9362,2.8881,0.2432,0.06
21.3454,4.4685,0.4461,0.1878
26.5605,5.339,0.8653,0.4416
26.8158,6.6069,0.7331,0.4729
25.3003,4.9209,0.8936,0.4171
21.9394,7.3309,0.4171,0.3037
28.9425,5.5176,0.4152,0.2189
21.0891,5.3506,0.411,0.2122
28.6602,2.933,0.8761,0.2204
27.1283,3.2966,0.381,0.111
29.5605,1.8718,0.4196,0.0565
26.3572,3.8423,0.6094,0.2136
25.0764,2.7141,0.938,0.215
27.2754,2.4252,0.3669,0.0722
25.4782,4.5726,0.4726,0.2029
27.1319,4.0929,0.4162,0.1568
23.3984,5.3708,0.4437,0.2292
29.2294,6.3307,0.9876,0.6056
20.5911,7.4597,0.8018,0.5961
29.8392,3.0284,0.2481,0.0648
28.8054,2.4174,0.9778,0.1912
26.9794,7.4027,0.6869,0.501
28.8495,6.0199,0.7895,0.4584
27.5674,4.4249,0.7223,0.2976
27.1429,2.7611,0.4136,0.0966
29.6937,6.4964,0.4588,0.2892
23.0179,1.2417,0.4924,0.0288
26.3238,3.3794,0.958,0.2881
29.2918,5.136,0.2375,0.1155
23.3796,7.4637,0.2473,0.1831
23.3519,5.3126,0.0188,0.0096
21.826,5.018,0.319,0.1531
27.7168,6.1758,0.9726,0.5819
27.6314,1.9112,0.0681,0.0095
25.2053,3.0404,0.3976,0.1052
26.9683,1.3978,0.9963,0.0787
28.1222,7.6632,0.3022,0.2284
20.9976,1.5631,0.8238,0.0827
20.7913,5.7389,0.6818,0.3807
27.7194,6.4347,0.9731,0.6089
21.2687,4.6553,0.0951,0.042
27.7428,1.6499,0.8206,0.0899
25.1628,3.9072,0.0439,0.0157
29.8754,3.4471,0.033,0.0101
27.0888,7.0573,0.8681,0.6013
25.9417,5.9991,0.9696,0.5636
23.8798,3.5574,0.5922,0.1903
24.6416,3.888,0.2913,0.1038
25.7742,4.7614,0.7583,0.3407
25.9965,2.8437,0.8796,0.2138
21.114,6.7736,0.6301,0.4216
27.1466,5.1208,0.3177,0.1546
22.7485,7.9491,0.5926,0.47
23.9869,6.0132,0.6054,0.3539
22.6997,1.7529,0.8927,0.1094
29.008,2.7723,0.245,0.0574
20.1878,2.9558,0.6422,0.1655
25.6812,7.493,0.1569,0.1162
20.6482,3.0727,0.9624,0.2601
25.7219,3.7804,0.9481,0.3264
27.867,5.3205,0.0796,0.0404
20.5746,3.8456,0.6143,0.2176
22.3166,7.5286,0.5839,0.4372
25.4504,1.9243,0.1569,0.0222
27.5959,7.885,0.664,0.5179
26.4751,4.3191,0.7126,0.2861
20.0288,3.6081,0.8996,0.2959
22.5723,4.5064,0.5178,0.2197
23.5675,4.4989,0.5477,0.2316
20.2461,6.1344,0.6,0.3608
22.0281,4.0727,0.0154,0.0058
27.2993,1.9022,0.1967,0.0273
26.0686,5.1786,0.7901,0.39
23.4845,3.1926,0.1395,0.0393
25.7321,5.8003,0.0093,0.0052
28.865,6.0212,0.9966,0.5788
25.5423,5.6329,0.8449,0.4584
26.0001,2.6559,0.5769,0.1284
29.7998,2.8263,0.0143,0.0034
21.1585,7.9939,0.8556,0.6845
29.6693,2.1435,0.8123,0.1341
26.4163,5.0703,0.685,0.33
24.5537,4.5595,0.4621,0.1981
21.7503,5.3039,0.1297,0.0662
24.2345,4.9478,0.7113,0.3346
25.8069,6.9773,0.352,0.2413
29.8231,3.4272,0.2824,0.0859
29.3013,6.7609,0.0898,0.0592
23.9103,2.6917,0.1895,0.0431
28.8273,5.9673,0.0332,0.0191
21.0356,6.0708,0.7703,0.4574
27.5164,2.2764,0.4438,0.0801
24.2608,2.3883,0.7528,0.1459
28.9114,6.5811,0.4514,0.289
22.036,3.8101,0.4455,0.1557
28.07,6.7838,0.424,0.2809
21.7799,5.6528,0.9167,0.5025
28.7361,4.1454,0.1355,0.0517
23.8944,6.503,0.5712,0.3639
24.9428,3.9832,0.414,0.1517
29.0691,4.8344,0.1803,0.082
23.9412,3.5871,0.4937,0.1602
26.5202,7.1579,0.675,0.4752
21.3616,3.4332,0.627,0.1938
27.9836,5.3144,0.8032,0.4068
26.1487,7.1048,0.6428,0.4492
20.2292,7.159,0.9046,0.6437
21.2834,5.7627,0.1105,0.0619
26.4541,7.2533,0.2065,0.1475
20.0063,3.0739,0.6462,0.1749
29.2607,3.743,0.8793,0.2974
28.3874,7.2899,0.0647,0.0463
25.7833,5.637,0.7805,0.4237
24.7818,5.4585,0.143,0.075
20.1855,2.5023,0.0603,0.0125
25.9011,2.9263,0.9455,0.2383
21.1941,3.9337,0.1949,0.0708
25.9036,4.6196,0.844,0.3663
23.7852,4.1736,0.2305,0.0894
24.5809,3.1383,0.3882,0.107
20.6973,1.494,0.7049,0.0648
26.2888,7.9595,0.8526,0.6731
27.8066,5.0541,0.0173,0.0083
24.6429,4.4747,0.7401,0.3104
23.8975,2.1129,0.6052,0.0988
27.6557,5.6327,0.7625,0.4122
27.1889,3.5025,0.0344,0.0108
22.6205,6.5629,0.5869,0.3785
26.9017,3.3051,0.2952,0.0864
27.0415,4.0297,0.6281,0.2325
26.5277,5.7342,0.7395,0.4086
28.4648,5.4254,0.7137,0.3696
29.1546,6.5996,0.4915,0.3154
23.3167,5.8407,0.9987,0.5661
28.981,4.7726,0.826,0.3701
26.0763,3.2081,0.9997,0.2824
29.5442,5.6889,0.8696,0.4739
28.846,6.1669,0.8084,0.482
25.0481,6.9464,0.9547,0.6522
24.4972,7.9913,0.2122,0.1688
26.9819,6.4468,0.0446,0.028
20.4694,3.1838,0.0759,0.0215
27.2428,7.4046,0.4089,0.2982
26.3589,5.3854,0.7495,0.3863
27.5071,4.3713,0.4729,0.1922
22.4981,4.2002,0.8464,0.3313
22.0794,3.9564,0.4538,0.1658
22.3798,2.4582,0.0873,0.0176
28.2646,5.4375,0.8847,0.4595
23.0457,6.9645,0.4637,0.3188
24.6125,7.0947,0.6564,0.4592
21.026,3.5443,0.4796,0.1541
20.5361,5.2708,0.7773,0.395
29.41,2.4799,0.3964,0.0801
25.3205,3.9401,0.9577,0.3463
20.5757,6.1227,0.3909,0.2345
21.4331,6.7875,0.879,0.5892
29.2696,6.7869,0.3878,0.2565
26.4778,6.5582,0.9788,0.6267
27.0495,5.07,0.3496,0.1683
26.7639,4.677,0.2532,0.1113
24.7594,1.7883,0.0296,0.0037
27.6185,4.5124,0.4519,0.1904
24.7669,5.4411,0.3759,0.1965
22.4772,5.7156,0.7849,0.435
20.419,2.1345,0.8922,0.1487
22.3503,4.9172,0.9979,0.4677
22.721,2.568,0.7181,0.1538
21.3535,4.9689,0.7682,0.3649
20.6824,3.0989,0.0836,0.0228
22.1713,6.4522,0.5156,0.3266
26.4748,2.234,0.9966,0.1755
21.5467,7.6642,0.0045,0.0034
22.8774,6.4037,0.0028,0.0018
27.002,2.6207,0.5914,0.1291
28.0188,4.5911,0.8431,0.3621
27.9326,3.3126,0.7482,0.2191
24.6027,6.8062,0.6916,0.4625
22.5327,1.844,0.0171,0.0023
22.1645,6.5336,0.2907,0.1867
29.1881,1.2947,0.9336,0.0609
24.6274,7.2482,0.0017,0.0012
22.3408,5.0427,0.0866,0.0418
20.4127,4.3437,0.3997,0.1632
27.6589,7.191,0.272,0.1921
27.2402,7.4407,0.0482,0.0354
22.5844,5.0672,0.241,0.1168
20.5952,4.7717,0.3301,0.15
20.6857,5.8119,0.6721,0.3806
26.0212,1.6545,0.6201,0.0685
27.9944,1.8156,0.1237,0.0159
20.9558,3.9006,0.4552,0.1639
24.0825,7.6422,0.2903,0.2202
28.2493,1.3588,0.9242,0.0682
22.7495,7.2322,0.2346,0.1681
20.0592,2.0878,0.7193,0.1162
24.885,5.3622,0.1011,0.052
20.2276,7.842,0.0613,0.0482
23.8528,7.2882,0.1532,0.1104
24.9635,5.229,0.4227,0.2113
25.7716,4.0815,0.7859,0.2959
25.8478,3.0229,0.953,0.2502
25.8954,3.9305,0.5701,0.2054
27.8291,4.6791,0.0161,0.0071
25.7894,4.9361,0.5439,0.2545
25.278,5.1413,0.3336,0.1636
22.7644,7.3124,0.0336,0.0244
21.0113,6.64,0.3832,0.251
28.4354,4.6214,0.059,0.0255
22.7138,7.3561,0.0239,0.0174
25.4341,1.2347,0.7052,0.0403
28.2407,7.3125,0.198,0.1423
21.7274,7.763,0.3229,0.2501
28.3841,6.7432,0.0651,0.0428
29.3658,2.7256,0.368,0.0842
21.0553,7.8076,0.5963,0.4652
26.2778,1.6477,0.7087,0.0777
29.1593,6.615,0.0595,0.0383
24.8719,4.7947,0.2696,0.1223
23.0784,6.037,0.9914,0.5831
25.0109,2.5988,0.5432,0.1177
24.2665,5.143,0.8675,0.4262
24.9914,5.0108,0.4949,0.2359
28.0177,5.2496,0.551,0.2753
28.6387,3.8202,0.8148,0.2826
21.7897,4.638,0.7361,0.3232
22.8589,7.4965,0.6487,0.483
24.4713,6.4566,0.7524,0.4752
20.2299,7.8799,0.3866,0.305
28.9245,6.9438,0.8232,0.5586
21.5365,2.6107,0.7778,0.1705
20.3932,1.3809,0.8831,0.0686
22.7079,7.0667,0.2302,0.1608
23.5286,5.7836,0.9043,0.5069
20.0311,5.266,0.1543,0.0784
24.1778,3.2166,0.3302,0.0939
20.0219,1.8961,0.4698,0.0656
22.1085,6.5696,0.2954,0.1909
20.2667,5.0104,0.3409,0.1637
25.5558,5.8412,0.891,0.5032
29.2879,4.3188,0.7066,0.2824
27.458,3.4688,0.5723,0.1773
29.0488,3.7827,0.9606,0.3291
28.6901,3.2805,0.5677,0.164
24.5022,6.8557,0.2768,0.1866
25.4444,2.3237,0.0878,0.0164
20.6311,4.1602,0.057,0.0221
27.3492,7.1153,0.6135,0.4285
20.2602,1.6039,0.2523,0.0266
26.916,5.0955,0.4685,0.2268
27.3832,2.7326,0.3482,0.0802
23.3592,6.8629,0.7731,0.5228
22.958,5.7387,0.5362,0.2983
29.8823,6.9349,0.9364,0.6334
24.6321,4.8388,0.3254,0.1492
22.0656,5.8317,0.7939,0.4502
27.6953,1.9076,0.909,0.1266
29.4863,5.0078,0.6595,0.3118
22.5985,5.8798,0.7244,0.4142
28.0548,5.3898,0.2967,0.1526
28.9176,3.3165,0.5959,0.1744
23.5621,1.3185,0.1509,0.0104
22.881,4.1127,0.4623,0.1765
24.886,5.4462,0.4701,0.246
25.6373,6.0574,0.8367,0.4918
28.6769,1.6943,0.1583,0.0181
20.6238,6.0131,0.3647,0.2144
23.2418,3.2041,0.0527,0.0149
22.8739,6.2409,0.598,0.3649
22.4968,3.4107,0.0643,0.0197
23.7266,7.8758,0.0023,0.0018
28.7804,5.0853,0.378,0.182
29.1909,5.4751,0.146,0.0763
26.9149,1.3983,0.8383,0.0663
23.8047,4.5062,0.2368,0.1003
28.3038,5.3586,0.0052,0.0026
29.8723,1.7711,0.4612,0.0568
23.6789,4.7285,0.6206,0.2776
28.1548,5.3567,0.7822,0.3996
21.2015,7.1031,0.4778,0.3366
24.7513,6.3467,0.5281,0.3272
23.6787,7.5795,0.8342,0.6276
20.6643,2.2254,0.1045,0.0185
25.8323,4.5517,0.9312,0.3975
26.1902,4.4663,0.7866,0.3283
24.5637,3.3278,0.119,0.0352
22.3361,4.8629,0.0977,0.0452
21.6948,3.7754,0.0961,0.0332
22.4712,3.0987,0.8015,0.2182
28.6531,1.6233,0.4581,0.0487
27.9868,4.5599,0.1467,0.0625
21.7954,1.2886,0.3336,0.0217
28.9549,7.0037,0.1851,0.1268
22.381,6.2922,0.0219,0.0135
20.53,3.3697,0.4657,0.141
26.2704,3.3418,0.3402,0.101
28.7691,6.9514,0.6849,0.4654
28.3806,7.369,0.7317,0.5299
22.7201,2.3635,0.4863,0.0932
28.7731,5.8614,0.4677,0.2637
22.0332,1.7079,0.7845,0.0922
26.259,4.937,0.4922,0.2302
24.9674,6.9432,0.0202,0.0138
24.5865,1.673,0.4608,0.052
24.3795,7.8813,0.9294,0.7284
22.942,4.3758,0.2927,0.12
23.3684,1.6006,0.8265,0.0864
22.2003,3.2304,0.1854,0.0532
22.1387,3.6739,0.3392,0.1136
24.8687,2.0399,0.8772,0.1359
22.653,4.306,0.2441,0.0983
27.8109,1.4866,0.4924,0.0443
23.6362,5.388,0.3564,0.1847
29.8664,4.9075,0.6941,0.3205
20.7044,2.1734,0.4545,0.0777
23.9784,6.387,0.2248,0.1404
25.0859,7.8075,0.7877,0.6104
22.3678,7.1183,0.3455,0.2434
20.1168,2.7052,0.7813,0.1799
23.7075,2.7883,0.6248,0.1486
20.1991,3.6971,0.9349,0.3164
23.6749,3.9306,0.1759,0.0636
27.6103,3.6315,0.3182,0.1041
21.5087,1.2091,0.8825,0.0475
25.8779,6.5208,0.1505,0.0959
25.8306,5.2389,0.9519,0.4762
28.8362,5.7206,0.3804,0.2088
22.4042,3.1772,0.7794,0.2189
26.8108,5.6253,0.5984,0.3235
20.7557,1.3514,0.383,0.0283
28.0671,4.092,0.2872,0.1081
20.4585,2.006,0.3529,0.0537
24.4868,2.6411,0.238,0.0527
28.2598,1.3625,0.9678,0.0719
27.9033,1.2921,0.5583,0.0363
22.4672,3.1227,0.8596,0.2363
25.0808,7.2772,0.9546,0.6858
29.4923,1.8322,0.0679,0.0088
29.4728,5.7233,0.7269,0.3988
22.3005,4.6112,0.7507,0.3271
22.8119,7.2643,0.8294,0.597
28.9241,2.4614,0.2879,0.0577
29.2562,4.8444,0.8388,0.3821
24.0086,5.4416,0.6803,0.3561
23.6803,6.2723,0.6948,0.4257
27.6665,4.2784,0.824,0.3266
26.5374,6.9529,0.7008,0.4781
21.0984,4.777,0.7169,0.3259
27.8228,5.2403,0.1063,0.053
21.5194,3.1105,0.7477,0.2049
22.0649,6.1986,0.5877,0.3564
22.3092,7.5695,0.3273,0.2465
26.228,4.9038,0.8054,0.3739
23.1374,7.0691,0.5438,0.3798
29.1786,2.4405,0.5594,0.1107
24.2615,7.2376,0.8241,0.5894
24.9736,7.2708,0.0705,0.0506
21.9592,7.7002,0.3053,0.2343
21.108,3.4477,0.3716,0.1155
24.0099,7.8376,0.4875,0.38
27.0855,7.6289,0.2576,0.194
23.3549,4.4757,0.4644,0.1953
24.7273,2.3452,0.4807,0.0908
27.1055,2.3366,0.1422,0.0266
21.1391,5.0809,0.7795,0.3798
23.8324,1.5352,0.5056,0.0488
28.8685,6.1916,0.6495,0.389
23.8104,2.4731,0.9879,0.2009
27.3649,7.9711,0.2902,0.2291
29.3329,2.6004,0.7054,0.1519
29.637,1.9755,0.0871,0.0128
23.5478,7.1497,0.8521,0.6021
24.6213,6.3103,0.6811,0.4194
21.8809,5.1274,0.9835,0.4835
27.2967,7.1355,0.1254,0.0879
26.5147,5.2646,0.6543,0.3288
29.6871,3.1412,0.1176,0.0322
21.523,1.3627,0.3149,0.0237
22.2566,3.7633,0.3873,0.1334
26.9952,7.5281,0.668,0.4962
21.6854,5.621,0.0781,0.0426
20.4151,4.0996,0.1506,0.0575
25.6763,6.2221,0.9626,0.5826
22.5237,7.336,0.3681,0.2679
28.1051,2.7417,0.677,0.1565
29.7773,1.4113,0.4319,0.0347
24.4013,6.1448,0.0727,0.0435
29.2636,6.5214,0.4366,0.2765
23.1021,1.2155,0.6433,0.0351
27.0231,1.7007,0.2618,0.0303
21.7272,7.9758,0.2622,0.209
26.8639,5.0066,0.6047,0.287
26.957,3.6322,0.3799,0.1245
26.9573,2.0077,0.748,0.1127
24.9823,7.8648,0.7336,0.5731
23.934,7.0625,0.3084,0.2149
25.4354,7.581,0.3157,0.2369
23.3032,6.9441,0.73,0.5
22.4713,2.7764,0.3279,0.0777
24.2372,3.5095,0.2097,0.0663
29.2889,7.6654,0.4852,0.3661
29.5119,2.6868,0.7336,0.1648
22.8301,1.7618,0.5071,0.0627
21.0456,7.1457,0.7288,0.5169
20.6046,3.3123,0.9184,0.2722
20.9778,3.9657,0.9202,0.3378
20.8146,4.2752,0.5047,0.2022
29.8604,1.555,0.1989,0.0195
26.4663,4.3316,0.8612,0.3469
29.175,7.0334,0.2781,0.1913
26.5143,6.6867,0.9689,0.6336
22.8165,2.6514,0.578,0.129
25.8847,5.7504,0.5377,0.2983
27.2595,7.8119,0.2873,0.2219
26.5944,7.0574,0.0754,0.0523
24.8904,5.6231,0.8034,0.4355
27.1474,2.3514,0.9283,0.1753
22.7111,1.3685,0.2704,0.0205
27.0174,2.2952,0.7312,0.1336
28.5364,5.1651,0.3528,0.173
29.4464,4.0083,0.6663,0.2442
27.7193,2.8258,0.6232,0.1498
22.4418,2.871,0.0592,0.0146
28.8533,2.0374,0.2453,0.0377
28.8609,5.4288,0.9102,0.4714
27.4883,2.0713,0.4058,0.064
22.872,2.7769,0.4266,0.1011
27.4692,4.957,0.5177,0.2427
26.5445,2.811,0.1303,0.0312
28.9746,2.3549,0.9322,0.1759
23.6803,5.6867,0.6615,0.3639
22.9913,1.442,0.6845,0.0583
28.6448,4.0006,0.71,0.2599
29.3975,4.6098,0.8248,0.3551
26.7871,5.8989,0.571,0.3254
29.3163,3.3755,0.0823,0.0246
26.5342,4.9932,0.9434,0.4467
25.7873,5.912,0.0583,0.0334
26.4451,1.2815,0.8893,0.0566
22.161,3.8469,0.0278,0.0098
20.54,2.7296,0.8074,0.1879
24.7033,2.2821,0.2676,0.0487
20.9262,5.278,0.9535,0.485
28.1688,2.3469,0.9594,0.1804
27.8764,6.1038,0.6333,0.374
20.1944,2.0639,0.1502,0.0239
29.9257,5.8913,0.5577,0.3157
22.3349,4.5238,0.2087,0.089
20.0468,1.2135,0.0116,0.0006
26.6707,4.3375,0.8844,0.3567
27.8746,5.7903,0.464,0.2585
26.7923,2.947,0.0245,0.0062
20.1094,7.9805,0.6183,0.4947
24.407,5.041,0.7863,0.3777
25.2433,6.249,0.4366,0.2657
29.8805,2.2542,0.4816,0.0854
25.2338,2.3878,0.3191,0.0617
28.1884,7.3328,0.8154,0.5876
25.6045,4.1138,0.7707,0.2929
28.0075,2.8284,0.7614,0.1831
27.1972,5.2183,0.6432,0.3196
29.6934,7.4242,0.0221,0.0161
29.7137,3.9986,0.8729,0.3188
21.4196,1.8023,0.1349,0.0174
24.8241,4.5351,0.9478,0.4035
20.8931,5.7802,0.0632,0.0356
26.8396,3.4311,0.7573,0.2318
23.8043,1.6308,0.9672,0.1045
27.9845,2.2662,0.4077,0.0731
28.7023,5.9261,0.6628,0.3783
25.3913,4.4193,0.5524,0.2281
28.3871,3.1324,0.4505,0.1231
22.5558,3.3692,0.0502,0.0151
25.8585,4.1029,0.0193,0.0073
28.3759,6.0548,0.9541,0.558
25.5941,7.7409,0.3458,0.2653
25.8849,6.0899,0.1803,0.1066
26.5469,6.5726,0.1799,0.1154
25.4356,3.9229,0.5543,0.1994
24.0292,7.2916,0.9547,0.6885
23.6637,3.0304,0.3346,0.0884
28.6405,1.7413,0.7824,0.0939
26.1977,6.9819,0.3289,0.2255
25.1148,1.7349,0.7901,0.0948
20.5261,6.3143,0.7377,0.4577
26.5205,4.2506,0.583,0.2298
23.2275,7.3299,0.0737,0.0535
25.9791,4.2008,0.9341,0.3635
25.4864,3.9768,0.3605,0.1318
28.0075,1.934,0.7605,0.1081
20.627,7.0865,0.7343,0.5164
22.0336,3.1835,0.3381,0.0952
23.3092,6.3878,0.6762,0.4229
27.9832,4.2903,0.5755,0.2287
22.3212,2.1413,0.9377,0.1565
23.864,1.3632,0.2082,0.0156
25.0087,3.3152,0.5249,0.1546
28.8325,1.4811,0.7454,0.0665
25.696,7.0474,0.335,0.2322
24.1231,2.4779,0.9033,0.184
20.4569,6.3806,0.057,0.0358
28.0073,1.9398,0.4468,0.0638
21.3435,4.3373,0.7742,0.3151
20.6236,6.1166,0.6783,0.4064
22.3284,2.5474,0.5021,0.1064
22.7577,6.9007,0.3922,0.267
20.7348,1.5738,0.4446,0.0452
28.4395,1.9252,0.0636,0.009
27.7558,1.587,0.8315,0.0849
27.1179,6.8181,0.2443,0.163
23.2908,6.6302,0.0429,0.028
20.34,1.7256,0.162,0.0194
20.4144,6.0832,0.5825,0.347
23.5317,7.442,0.0898,0.0663
28.5081,5.7151,0.9015,0.4946
27.4428,2.1343,0.5313,0.0875
23.5231,7.5394,0.8507,0.6365
29.2787,4.7888,0.322,0.1448
24.6944,7.524,0.8897,0.663
28.4387,5.8377,0.5921,0.3326
29.0401,2.0069,0.1128,0.0169
24.9892,2.2385,0.6064,0.1073
28.7325,5.4955,0.8708,0.4573
20.3303,6.9687,0.4792,0.3311
27.9017,3.3875,0.4298,0.1293
22.373,5.9917,0.0698,0.0407
22.5112,6.7393,0.4477,0.2973
21.2256,7.2045,0.1019,0.0729
24.003,3.841,0.8426,0.2964
28.5328,3.0159,0.86,0.2241
25.2489,1.4742,0.5195,0.0462
24.5403,1.6058,0.7379,0.0774
22.7361,4.2732,0.4243,0.1693
20.1049,1.5711,0.4591,0.0466
20.918,7.4332,0.8674,0.6421
24.1817,2.4014,0.591,0.1154
22.1747,4.1112,0.1816,0.0694
28.9776,2.6483,0.2921,0.0644
27.31,6.31,0.1921,0.1177
27.8159,5.465,0.1163,0.0608
21.6957,5.3532,0.6257,0.3229
29.8035,4.9593,0.9088,0.4247
23.7939,4.2346,0.1777,0.0701
22.9931,5.063,0.5741,0.2777
23.3638,2.6262,0.0485,0.0107
24.0989,7.3679,0.8307,0.6058
29.3133,5.6177,0.1906,0.1025
24.3469,3.6025,0.4194,0.1367
25.1758,6.8616,0.5134,0.346
22.2753,5.6491,0.4879,0.267
27.3849,1.3902,0.4344,0.0339
29.3936,6.202,0.1867,0.1119
29.3013,6.6774,0.7108,0.462
24.9486,1.7681,0.2506,0.0311
26.9957,2.0245,0.3696,0.0564
20.4808,1.2105,0.5022,0.0272
20.2251,6.2158,0.7865,0.4799
26.1346,1.3003,0.3248,0.0215
20.9918,7.2355,0.2804,0.2016
26.4246,5.6755,0.0564,0.0308
26.9173,2.6743,0.694,0.1556
25.9595,6.4555,0.3046,0.1919
27.5402,6.8476,0.8543,0.5722
24.6662,7.0735,0.574,0.4002
21.9355,3.3602,0.5032,0.1514
23.1191,2.8189,0.0156,0.0038
22.5098,4.1672,0.5228,0.2027
22.3907,7.7427,0.2012,0.1553
24.8405,1.513,0.0496,0.0047
24.3451,4.6196,0.864,0.376
26.1096,1.8774,0.676,0.0921
29.8802,3.2175,0.9922,0.2795
20.1715,7.7807,0.029,0.0226
23.9563,5.7263,0.9597,0.5317
20.8237,6.2305,0.4632,0.2831
29.8374,1.6161,0.689,0.0725
29.827,2.9317,0.6859,0.1721
24.2576,7.3456,0.4641,0.3372
21.1716,3.3864,0.5566,0.1693
23.004,6.6864,0.7142,0.4697
22.9717,5.0544,0.6871,0.3318
27.3616,2.1314,0.0305,0.005
23.27,3.0087,0.6517,0.1708
20.127,5.9305,0.9263,0.5369
27.7457,2.8083,0.9817,0.2341
20.1654,6.4397,0.6667,0.4229
22.1533,2.9232,0.4938,0.1251
29.5653,5.3308,0.3672,0.1861
29.3151,4.298,0.6134,0.2438
25.9104,5.4334,0.5439,0.2833
25.2724,2.9615,0.1321,0.0338
